               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094715,            0.045773,            0.075322,           0.0025742,            0.003359,          0.00066194,          0.00018394,             0.10435,            0.024544,             0.10712,            0.070137,           0.0033181,           0.0033181
                   1,            0.088069,            0.046143,            0.067404,          0.00095085,            0.043074,          0.00071061,          0.00018701,            0.084623,            0.026413,            0.062633,            0.040005,           0.0065197,           0.0065197
                   2,            0.084782,            0.046091,            0.061702,           0.0051357,            0.067244,           0.0034371,          0.00074808,            0.082818,            0.037577,            0.059804,           0.0097416,           0.0095894,           0.0095894
                   3,            0.078175,            0.048706,            0.059498,           0.0029664,             0.17705,           0.0040059,           0.0012474,            0.074347,            0.029209,            0.055013,            0.009406,            0.009406,            0.009406
                   4,            0.073149,             0.04829,            0.057403,             0.70643,            0.027263,           0.0084491,           0.0023627,            0.073713,            0.029687,            0.055562,            0.009406,            0.009406,            0.009406
                   5,             0.06913,            0.048043,            0.056198,             0.83848,             0.02597,             0.02226,           0.0066577,            0.068744,            0.026833,            0.052497,            0.009208,            0.009208,            0.009208
                   6,             0.06651,            0.047945,            0.054621,             0.62908,            0.039316,            0.031224,            0.010154,            0.064948,            0.026826,            0.049488,             0.00901,             0.00901,             0.00901
                   7,              0.0639,            0.046346,            0.052902,              0.4909,            0.058926,            0.063221,            0.019882,            0.060992,            0.026747,            0.047087,            0.008812,            0.008812,            0.008812
                   8,              0.0622,            0.046639,            0.050391,             0.40072,            0.073989,            0.055073,            0.017887,            0.063117,            0.027599,            0.045113,            0.008614,            0.008614,            0.008614
                   9,            0.061286,            0.046734,            0.048657,             0.40445,            0.093289,            0.068309,            0.023557,            0.059977,             0.02655,            0.042652,            0.008416,            0.008416,            0.008416
                  10,            0.060529,            0.045839,            0.046772,             0.43618,             0.14085,            0.093089,            0.034056,            0.058497,            0.026041,            0.041215,            0.008218,            0.008218,            0.008218
                  11,            0.059146,            0.045323,            0.045292,             0.35896,             0.15032,             0.10757,            0.042265,            0.057432,            0.025796,            0.038988,             0.00802,             0.00802,             0.00802
                  12,            0.058486,            0.044647,            0.044614,             0.27713,             0.15955,             0.10484,            0.041748,             0.05824,            0.026623,            0.038439,            0.007822,            0.007822,            0.007822
                  13,             0.05756,            0.044882,             0.04321,             0.23215,             0.17887,             0.11886,            0.047484,            0.056444,            0.026103,            0.038491,            0.007624,            0.007624,            0.007624
                  14,            0.057376,            0.044451,            0.041501,             0.17826,             0.20254,             0.15616,             0.06397,            0.055079,            0.025028,            0.033637,            0.007426,            0.007426,            0.007426
                  15,            0.056011,            0.043218,            0.040338,             0.27666,              0.2086,             0.17431,            0.070715,            0.055188,            0.025712,            0.033388,            0.007228,            0.007228,            0.007228
                  16,            0.055903,            0.043782,            0.038741,             0.28468,             0.18899,             0.16426,            0.065741,             0.05505,            0.025162,            0.033652,             0.00703,             0.00703,             0.00703
                  17,            0.055303,            0.043661,            0.037924,             0.43294,             0.20565,             0.18479,            0.078166,            0.054417,              0.0252,            0.031769,            0.006832,            0.006832,            0.006832
                  18,            0.054484,            0.043539,            0.036643,             0.28609,             0.22562,             0.21206,            0.090652,            0.054949,            0.024976,            0.032229,            0.006634,            0.006634,            0.006634
                  19,            0.054586,            0.043453,            0.036286,             0.24647,             0.23497,             0.19091,            0.079306,            0.053986,            0.025191,            0.030403,            0.006436,            0.006436,            0.006436
                  20,            0.053504,            0.042554,            0.035476,             0.32838,             0.26426,             0.21717,            0.087557,             0.05283,            0.024851,            0.029377,            0.006238,            0.006238,            0.006238
                  21,            0.053775,            0.042968,            0.034888,             0.28824,             0.27395,             0.23515,             0.10087,            0.051421,            0.024439,            0.029309,             0.00604,             0.00604,             0.00604
                  22,            0.052541,            0.042479,            0.033987,             0.28909,             0.30587,              0.2496,             0.11062,            0.051461,            0.024711,            0.027618,            0.005842,            0.005842,            0.005842
                  23,            0.053034,            0.042975,            0.033254,             0.38396,             0.25743,             0.23878,             0.10514,            0.051973,            0.024289,            0.027828,            0.005644,            0.005644,            0.005644
                  24,             0.05162,            0.042046,            0.032163,             0.29748,               0.307,             0.27494,             0.11839,            0.051838,            0.024288,            0.026918,            0.005446,            0.005446,            0.005446
                  25,            0.051147,            0.041947,            0.031521,             0.35107,             0.28732,             0.24591,             0.10738,             0.05135,            0.025161,            0.026365,            0.005248,            0.005248,            0.005248
                  26,            0.051091,             0.04321,              0.0311,             0.37581,             0.30386,             0.30019,              0.1325,             0.05107,            0.024133,             0.02591,             0.00505,             0.00505,             0.00505
                  27,            0.051061,            0.041426,            0.030005,             0.40226,             0.32452,             0.31303,             0.13314,            0.049696,            0.024221,            0.023005,            0.004852,            0.004852,            0.004852
                  28,            0.050033,            0.041331,            0.029067,             0.36403,             0.33305,             0.30067,             0.13634,            0.049186,            0.024037,            0.024859,            0.004654,            0.004654,            0.004654
                  29,            0.049662,            0.040684,            0.029516,             0.32098,              0.3554,             0.31471,             0.13705,            0.050197,            0.023875,            0.025616,            0.004456,            0.004456,            0.004456
                  30,            0.049669,            0.041671,            0.028793,             0.37053,             0.35683,             0.32239,             0.14612,            0.048118,            0.023764,            0.023536,            0.004258,            0.004258,            0.004258
                  31,            0.049194,            0.041612,            0.027421,             0.37779,             0.38643,             0.33977,             0.15597,             0.04861,            0.023871,            0.023449,             0.00406,             0.00406,             0.00406
                  32,            0.048359,            0.041202,            0.027411,             0.34751,             0.36911,              0.3266,             0.14782,            0.048246,            0.023953,            0.022571,            0.003862,            0.003862,            0.003862
                  33,             0.04847,            0.040554,            0.026517,             0.45451,             0.32422,              0.3543,             0.15145,            0.048387,            0.023688,            0.021422,            0.003664,            0.003664,            0.003664
                  34,            0.047983,            0.040115,            0.026145,             0.36428,             0.37096,             0.33755,             0.15203,            0.048883,             0.02375,            0.023089,            0.003466,            0.003466,            0.003466
                  35,            0.047934,            0.040555,            0.024858,             0.39527,             0.36995,             0.35691,             0.16382,            0.047647,            0.023616,            0.022991,            0.003268,            0.003268,            0.003268
                  36,            0.047069,            0.039397,            0.025261,             0.39108,             0.38465,             0.37142,             0.17347,            0.047296,            0.023455,            0.021988,             0.00307,             0.00307,             0.00307
                  37,            0.046988,            0.039682,            0.025383,             0.50461,             0.33981,             0.36765,             0.17537,            0.047575,            0.023375,            0.020728,            0.002872,            0.002872,            0.002872
                  38,            0.046291,            0.039069,            0.024624,             0.41411,              0.3948,             0.38565,             0.17699,            0.047485,            0.023464,            0.021111,            0.002674,            0.002674,            0.002674
                  39,            0.046362,            0.039742,            0.024032,             0.42486,             0.42371,             0.39628,             0.18845,            0.047183,            0.023303,            0.020656,            0.002476,            0.002476,            0.002476
                  40,            0.045916,            0.038507,            0.023967,             0.42368,             0.39284,             0.39556,             0.18453,            0.046984,            0.023253,            0.020037,            0.002278,            0.002278,            0.002278
                  41,            0.045553,            0.039027,            0.023212,             0.46642,             0.36953,             0.39829,              0.1903,            0.047087,            0.023282,            0.020493,             0.00208,             0.00208,             0.00208
                  42,            0.045483,            0.038996,            0.023023,             0.41606,             0.41172,             0.40431,             0.19456,            0.046972,            0.023027,              0.0201,            0.001882,            0.001882,            0.001882
                  43,            0.044703,            0.037905,            0.022234,             0.45402,              0.4157,              0.4127,             0.20083,            0.046903,            0.023075,            0.019685,            0.001684,            0.001684,            0.001684
                  44,            0.044539,            0.037976,            0.021977,             0.46275,             0.43258,             0.43098,             0.20689,            0.046345,            0.022968,            0.018709,            0.001486,            0.001486,            0.001486
                  45,            0.044206,            0.038258,            0.022034,             0.44279,             0.43194,             0.41891,             0.20393,            0.046868,            0.023067,            0.019418,            0.001288,            0.001288,            0.001288
                  46,            0.044133,            0.037807,            0.022047,             0.43152,              0.4507,               0.426,             0.20183,            0.046473,            0.022834,            0.018552,             0.00109,             0.00109,             0.00109
                  47,            0.043545,            0.038216,            0.021594,             0.47918,             0.41782,             0.43902,              0.2108,            0.045794,            0.022829,            0.018663,            0.000892,            0.000892,            0.000892
                  48,            0.043202,            0.038311,            0.020411,              0.4904,             0.43512,             0.43837,             0.21166,            0.045739,            0.022821,            0.018302,            0.000694,            0.000694,            0.000694
                  49,            0.043336,            0.038079,            0.020616,             0.46896,             0.44467,             0.44748,             0.21702,            0.045559,            0.022848,            0.018238,            0.000496,            0.000496,            0.000496
